Generation,Time_seconds,Best_cost,Mean_cost,Holding_cost,Order_cost,Shortage_cost,Penalty_cost,Method
269,11.3610394,173907697.5,43493407838,102587070.8,63189037.63,8131589,0,HGA-VNS
270,11.396212,173907697.5,2.42E+11,102587070.8,63189037.63,8131589,0,HGA-VNS
271,11.4300409,173907697.5,37026461017,102587070.8,63189037.63,8131589,0,HGA-VNS
272,11.4659146,173907697.5,36010489629,102587070.8,63189037.63,8131589,0,HGA-VNS
273,11.5004591,173907697.5,45507746040,102587070.8,63189037.63,8131589,0,HGA-VNS
274,11.5335994,173907697.5,49041054454,102587070.8,63189037.63,8131589,0,HGA-VNS
275,11.5691771,173907697.5,43075721874,102587070.8,63189037.63,8131589,0,HGA-VNS
276,11.6010734,173907697.5,66544687306,102587070.8,63189037.63,8131589,0,HGA-VNS
277,11.6424337,173907697.5,1.18E+11,102587070.8,63189037.63,8131589,0,HGA-VNS
278,11.6846161,173907697.5,23057546064,102587070.8,63189037.63,8131589,0,HGA-VNS
279,11.7175542,173907697.5,16840550926,102587070.8,63189037.63,8131589,0,HGA-VNS
280,11.7555598,173907697.5,71858697517,102587070.8,63189037.63,8131589,0,HGA-VNS
281,11.7905365,173907697.5,38668905264,102587070.8,63189037.63,8131589,0,HGA-VNS
282,11.8240232,173907697.5,1.24E+11,102587070.8,63189037.63,8131589,0,HGA-VNS
283,11.8572154,173907697.5,84316053453,102587070.8,63189037.63,8131589,0,HGA-VNS
284,11.8895242,173907697.5,57075209367,102587070.8,63189037.63,8131589,0,HGA-VNS
285,11.9234171,173907697.5,58506616016,102587070.8,63189037.63,8131589,0,HGA-VNS
286,11.9561885,173907697.5,60475914725,102587070.8,63189037.63,8131589,0,HGA-VNS
287,11.9890857,173907697.5,55530043851,102587070.8,63189037.63,8131589,0,HGA-VNS
288,12.0249044,173907697.5,54148589576,102587070.8,63189037.63,8131589,0,HGA-VNS
289,12.061468,173907697.5,8507328143,102587070.8,63189037.63,8131589,0,HGA-VNS
290,12.1018168,173907697.5,33507168151,102587070.8,63189037.63,8131589,0,HGA-VNS
291,12.1340041,173907697.5,79709504974,102587070.8,63189037.63,8131589,0,HGA-VNS
292,12.1683159,173907697.5,69544656541,102587070.8,63189037.63,8131589,0,HGA-VNS
293,12.2007197,173907697.5,50136128845,102587070.8,63189037.63,8131589,0,HGA-VNS
294,12.2321493,173907697.5,34204038247,102587070.8,63189037.63,8131589,0,HGA-VNS
295,12.265357,173907697.5,49225728788,102587070.8,63189037.63,8131589,0,HGA-VNS
296,12.2966403,173907697.5,81189219448,102587070.8,63189037.63,8131589,0,HGA-VNS
297,12.3284077,173907697.5,66355627161,102587070.8,63189037.63,8131589,0,HGA-VNS
298,12.3623923,173907697.5,65515732579,102587070.8,63189037.63,8131589,0,HGA-VNS
299,12.394131,173907697.5,60371150895,102587070.8,63189037.63,8131589,0,HGA-VNS
300,12.4255605,173907697.5,25173728150,102587070.8,63189037.63,8131589,0,HGA-VNS
0,0,65509178980,1.23E+12,0,0,0,0,GA
1,0.0857074,30799820653,1.37E+11,131085041.8,63189037.63,1964612,30603581961,GA
2,0.1323904,4357556243,93730344979,124290941.8,63189037.63,2500114,4167576149,GA
