param,value,total,holding,ordering,shortage,order_miss_penalty,sum_Q,sum_SS,sum_ROP,convergence_sec,pop,gens,kmax,ls_max_iters,seed,svc,lt_fac,bfac,logc,delta_total,delta_holding,delta_ordering,delta_shortage,delta_order_miss_penalty,delta_sum_Q,delta_sum_SS,delta_sum_ROP,Method
log_cost,1.5,"274,951,181.64","149,298,971.55","112,605,201.12","13,047,008.97",0.00,2149,16722,44011.33611,5.5618955,120,300,2,5,123,1.2816,1,1,1.5,73068917.94,49845553.53,22881648.82,341715.5898,0,157,-12,-12,VNS
pop_size,40,"201,882,263.70","99,453,418.03","89,723,552.30","12,705,293.38",0.00,1992,16734,44023.33611,0.6698961,40,300,2,5,123,1.2816,1,1,1,0,0,0,0,0,0,0,0,VNS
pop_size,80,"201,882,263.70","99,453,418.03","89,723,552.30","12,705,293.38",0.00,1992,16734,44023.33611,0.7907973,80,300,2,5,123,1.2816,1,1,1,0,0,0,0,0,0,0,0,VNS
pop_size,120,"201,882,263.70","99,453,418.03","89,723,552.30","12,705,293.38",0.00,1992,16734,44023.33611,0.6856311,120,300,2,5,123,1.2816,1,1,1,0,0,0,0,0,0,0,0,VNS
pop_size,160,"201,882,263.70","99,453,418.03","89,723,552.30","12,705,293.38",0.00,1992,16734,44023.33611,0.6247983,160,300,2,5,123,1.2816,1,1,1,0,0,0,0,0,0,0,0,VNS
pop_size,200,"201,882,263.70","99,453,418.03","89,723,552.30","12,705,293.38",0.00,1992,16734,44023.33611,0.5418384,200,300,2,5,123,1.2816,1,1,1,0,0,0,0,0,0,0,0,VNS
iterations,100,"201,882,263.70","99,453,418.03","89,723,552.30","12,705,293.38",0.00,1992,16734,44023.33611,0.6986144,120,100,2,5,123,1.2816,1,1,1,0,0,0,0,0,0,0,0,VNS
iterations,200,"201,882,263.70","99,453,418.03","89,723,552.30","12,705,293.38",0.00,1992,16734,44023.33611,0.6385479,120,200,2,5,123,1.2816,1,1,1,0,0,0,0,0,0,0,0,VNS
iterations,300,"201,882,263.70","99,453,418.03","89,723,552.30","12,705,293.38",0.00,1992,16734,44023.33611,0.6089313,120,300,2,5,123,1.2816,1,1,1,0,0,0,0,0,0,0,0,VNS
iterations,400,"201,882,263.70","99,453,418.03","89,723,552.30","12,705,293.38",0.00,1992,16734,44023.33611,0.4083428,120,400,2,5,123,1.2816,1,1,1,0,0,0,0,0,0,0,0,VNS
iterations,500,"201,882,263.70","99,453,418.03","89,723,552.30","12,705,293.38",0.00,1992,16734,44023.33611,0.3890958,120,500,2,5,123,1.2816,1,1,1,0,0,0,0,0,0,0,0,VNS
neighborhood_kmax,2,"201,882,263.70","99,453,418.03","89,723,552.30","12,705,293.38",0.00,1992,16734,44023.33611,0.4186315,120,300,2,5,123,1.2816,1,1,1,0,0,0,0,0,0,0,0,VNS
neighborhood_kmax,3,"216,568,415.63","100,249,907.70","104,862,962.96","11,455,544.97",0.00,2333,16828,44117.33611,1.2771442,120,300,3,5,123,1.2816,1,1,1,14686151.93,796489.6751,15139410.67,-1249748.41,0,341,94,94,VNS
neighborhood_kmax,5,"224,912,362.87","99,430,041.70","112,392,377.20","13,089,943.97",0.00,2151,16724,44013.33611,9.3574013,120,300,5,5,123,1.2816,1,1,1,23030099.17,-23376.32487,22668824.91,384650.5898,0,159,-10,-10,VNS
neighborhood_kmax,7,"200,812,154.50","100,089,845.70","89,092,154.83","11,630,153.97",0.00,2150,16834,44123.33611,4.5680313,120,300,7,5,123,1.2816,1,1,1,-1070109.206,636427.6751,-631397.4707,-1075139.41,0,158,100,100,VNS
neighborhood_kmax,9,"223,679,560.57","100,457,198.41","111,272,025.16","11,950,337.00",0.00,2456,16730,44019.33611,20.7284353,120,300,9,5,123,1.2816,1,1,1,21797296.87,1003780.388,21548472.86,-754956.3807,0,464,-4,-4,VNS
neighborhood_kmax,11,"223,494,426.52","100,396,017.84","111,275,614.68","11,822,794.00",0.00,2434,16828,44117.33611,34.7731671,120,300,11,5,123,1.2816,1,1,1,21612162.82,942599.8145,21552062.38,-882499.3807,0,442,94,94,VNS
ls_max_iters,2,"225,385,803.07","99,290,973.74","112,739,786.40","13,355,042.92",0.00,1942,16717,44006.33611,36.2522551,120,300,2,2,123,1.2816,1,1,1,23503539.37,-162444.2869,23016234.11,649749.5443,0,-50,-17,-17,VNS
ls_max_iters,5,"201,882,263.70","99,453,418.03","89,723,552.30","12,705,293.38",0.00,1992,16734,44023.33611,13.4848154,120,300,2,5,123,1.2816,1,1,1,0,0,0,0,0,0,0,0,VNS
ls_max_iters,10,"1,000,139,040,753.85","99,639,751.41","27,005,002.44","12,396,000.00","1,000,000,000,000.00",2367,16780,44069.33611,11.1816381,120,300,2,10,123,1.2816,1,1,1,9.99937E+11,186333.3882,-62718549.86,-309293.3807,1E+12,375,46,46,VNS
ls_max_iters,20,"1,000,139,040,753.85","99,639,751.41","27,005,002.44","12,396,000.00","1,000,000,000,000.00",2367,16780,44069.33611,4.8294126,120,300,2,20,123,1.2816,1,1,1,9.99937E+11,186333.3882,-62718549.86,-309293.3807,1E+12,375,46,46,VNS
ls_max_iters,50,"1,000,139,040,753.85","99,639,751.41","27,005,002.44","12,396,000.00","1,000,000,000,000.00",2367,16780,44069.33611,2.9083257,120,300,2,50,123,1.2816,1,1,1,9.99937E+11,186333.3882,-62718549.86,-309293.3807,1E+12,375,46,46,VNS
ls_max_iters,80,"1,000,139,040,753.85","99,639,751.41","27,005,002.44","12,396,000.00","1,000,000,000,000.00",2367,16780,44069.33611,2.9468625,120,300,2,80,123,1.2816,1,1,1,9.99937E+11,186333.3882,-62718549.86,-309293.3807,1E+12,375,46,46,VNS
ls_max_iters,120,"1,000,139,040,753.85","99,639,751.41","27,005,002.44","12,396,000.00","1,000,000,000,000.00",2367,16780,44069.33611,2.9761489,120,300,2,120,123,1.2816,1,1,1,9.99937E+11,186333.3882,-62718549.86,-309293.3807,1E+12,375,46,46,VNS
seed,42,"1,000,145,092,170.76","99,129,710.49","32,999,533.85","12,962,926.43","1,000,000,000,000.00",2022,16773,44062.33611,6.4148805,120,300,2,5,42,1.2816,1,1,1,9.99943E+11,-323707.538,-56724018.44,257633.0456,1E+12,30,39,39,VNS
seed,99,"1,000,143,870,662.18","100,111,820.70","31,183,247.52","12,575,593.97","1,000,000,000,000.00",2244,16737,44026.33611,6.8019801,120,300,2,5,99,1.2816,1,1,1,9.99942E+11,658402.6751,-58540304.78,-129699.4102,1E+12,252,3,3,VNS
seed,123,"201,882,263.70","99,453,418.03","89,723,552.30","12,705,293.38",0.00,1992,16734,44023.33611,0.7918378,120,300,2,5,123,1.2816,1,1,1,0,0,0,0,0,0,0,0,VNS
seed,147,"223,599,837.43","99,787,472.20","111,419,390.26","12,392,974.97",0.00,2422,16732,44021.33611,2.3885691,120,300,2,5,147,1.2816,1,1,1,21717573.72,334054.1751,21695837.96,-312318.4102,0,430,-2,-2,VNS
seed,171,"217,724,903.65","99,347,631.24","105,452,241.49","12,925,030.92",0.00,2207,16751,44040.33611,3.8348149,120,300,2,5,171,1.2816,1,1,1,15842639.95,-105786.7869,15728689.19,219737.5443,0,215,17,17,VNS
